NOC,RTI,Offshore,Hours_worked,Wage_rate,Employment_share,Relative_wage,Occupation_type
Professional occupations in natural and applied sciences [21],-0.60968365,0.46572255,-3.8167939,73.37318436,-3.73,3.23,1
Occupations in front-line public protection services [43],-0.5976907,-0.9371848,3.5264484,90.6052024,4.77,13.49,1
Professional occupations in business and finance [11],-0.732465,0.212094,-6.345177665,76.81505479,-3.65,5.28,1
Professional occupations in health (except nursing) [31],-0.6664672,-0.75607385,-16.0092807,76.15593255,-1.77,4.89,1
"Professional occupations in law and social, community and government services [41]",-0.4424283,0.1042147,-14.1809291,78.79272175,-5.7,6.46,1
"Processing, manufacturing and utilities supervisors and central control operators [92]",0.3858679,0.4670476,1.4669927,64.28300311,2.53,-2.18,1
Professional occupations in nursing [30],-0.6664672,-0.75607385,9.0625,86.23615296,8.79,10.89,1
Technical occupations related to natural and applied sciences [22],-0.60968365,0.46572255,-3.8167939,70.81375629,-0.81,1.71,1
"Industrial, electrical and construction trades [72]",0.8472577,0.34881105,-2.7638191,68.84637108,0.55,0.54,1
Transport and heavy equipment operation and related maintenance occupations [75],-1.495965,-0.9985411,-5.450237,63.14126394,-0.57,-2.86,0
Technical occupations in health [32],-0.6664672,-0.75607385,-2.4316109,64.55596976,-1.63,-2.02,0
Retail sales supervisors and specialized sales occupations [62],0.0534066,-0.8927469,-10.2189781,37.67272956,-6.66,-18.02,0
Administrative and financial supervisors and administrative occupations [12],-1.13485495,-0.47693655,-2.266289,68.73469096,0.32,0.47,0
Assemblers in manufacturing [95],0.4925116,2.345812,-2.3136247,47.36925182,-1,-12.25,0
"Trades helpers, construction labourers and related occupations [76]",-0.1854081,-0.9339555,-1.0582011,65.51031317,2.31,-1.45,0
"Finance, insurance and related business administrative occupations [13]",-0.732465,0.212094,0,81.83954553,3.03,8.27,0
Processing and manufacturing machine operators and related production workers [94],0.3858679,0.4670476,0.7832898,56.93452891,3.09,-6.56,0
"Paraprofessional occupations in legal, social, community and education services [42]",-0.4424283,0.1042147,4.1935484,48.56267002,4.59,-11.54,0
Office support occupations [14],2.240688,0.3995633,-2.7355623,63.6234142,0.5,-2.57,1
"Labourers in processing, manufacturing and utilities [96]",0.3858679,0.4670476,1.6172507,44.00809382,0.71,-14.25,1
"Technical occupations in art, culture, recreation and sport [52]",1.588948,1.660233,-13.6498516,55.5953325,-8.4,-7.35,1
Assisting occupations in support of health services [34],-0.6664672,-0.75607385,3.1445313,70.88912184,3.97,1.75,1
"Care providers and educational, legal and public protection support occupations [44]",-0.5976907,-0.9371848,0.9933775,82.75663508,2.39,8.82,1
Sales representatives and salespersons - wholesale and retail trade [64],0.0534066,-0.8927469,-5.5727554,77.04691016,0.43,5.42,1
Service representatives and other customer and personal services occupations [65],1.406782,-0.2485054,-5.9748428,61.35245085,-0.27,-3.92,1
"Service support and other service occupations, n.e.c. [67]",0.027381,-0.8081249,-7.6655052,60.91487346,-0.85,-4.19,1
Sales support occupations [66],0.0534066,-0.8927469,-7.4349442,68.58598954,0.02,0.38,1